"REF_DATE","GEO","DGUID","Vehicle Type","Fuel Type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2021A000011124","Pickup trucks, weighing 4,536 to 11,793 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446857984","1.11.2.1","70143","","","","0"
"2017","Canada","2021A000011124","Pickup trucks, weighing 4,536 to 11,793 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446857985","1.11.3.1","252036","","","","0"
"2017","Canada","2021A000011124","Pickup trucks, weighing 4,536 to 11,793 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446857986","1.11.4.1","0","","","","0"
"2017","Canada","2021A000011124","Pickup trucks, weighing 4,536 to 11,793 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446857987","1.11.5.1","0","","","","0"
"2017","Canada","2021A000011124","Pickup trucks, weighing 4,536 to 11,793 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446857988","1.11.6.1","0","","","","0"
"2017","Canada","2021A000011124","Pickup trucks, weighing 4,536 to 11,793 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446857989","1.11.7.1","5","","","","0"
"2017","Canada","2021A000011124","Vans, weighing 4,536 to 11,793 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446857990","1.12.1.1","104620","","","","0"
"2017","Canada","2021A000011124","Vans, weighing 4,536 to 11,793 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446857991","1.12.2.1","74246","","","","0"
"2017","Canada","2021A000011124","Vans, weighing 4,536 to 11,793 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446857992","1.12.3.1","30364","","","","0"
"2017","Canada","2021A000011124","Vans, weighing 4,536 to 11,793 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446857993","1.12.4.1","1","","","","0"
"2017","Canada","2021A000011124","Vans, weighing 4,536 to 11,793 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446857994","1.12.5.1","1","","","","0"
"2017","Canada","2021A000011124","Vans, weighing 4,536 to 11,793 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446857995","1.12.6.1","0","","","","0"
"2017","Canada","2021A000011124","Vans, weighing 4,536 to 11,793 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446857996","1.12.7.1","8","","","","0"
"2017","Canada","2021A000011124","Other vehicles, weighing 4,536 to 11,793 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446857997","1.13.1.1","130674","","","","0"
"2017","Canada","2021A000011124","Other vehicles, weighing 4,536 to 11,793 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446857998","1.13.2.1","29710","","","","0"
"2017","Canada","2021A000011124","Other vehicles, weighing 4,536 to 11,793 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446857999","1.13.3.1","100927","","","","0"
"2017","Canada","2021A000011124","Other vehicles, weighing 4,536 to 11,793 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446858000","1.13.4.1","6","","","","0"
"2017","Canada","2021A000011124","Other vehicles, weighing 4,536 to 11,793 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446858001","1.13.5.1","0","","","","0"
"2017","Canada","2021A000011124","Other vehicles, weighing 4,536 to 11,793 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446858002","1.13.6.1","0","","","","0"
"2017","Canada","2021A000011124","Other vehicles, weighing 4,536 to 11,793 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446858003","1.13.7.1","31","","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing 11,794 kilograms or more","All fuel types","Number of vehicles","Number","223","units","0","v1446858004","1.14.1.1","541274","","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing 11,794 kilograms or more","Gasoline","Number of vehicles","Number","223","units","0","v1446858005","1.14.2.1","","x","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing 11,794 kilograms or more","Diesel","Number of vehicles","Number","223","units","0","v1446858006","1.14.3.1","","x","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing 11,794 kilograms or more","Battery electric","Number of vehicles","Number","223","units","0","v1446858007","1.14.4.1","","x","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing 11,794 kilograms or more","Hybrid electric","Number of vehicles","Number","223","units","0","v1446858008","1.14.5.1","","x","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing 11,794 kilograms or more","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446858009","1.14.6.1","","x","","","0"
"2017","Canada","2021A000011124","Total, vehicles weighing 11,794 kilograms or more","Other fuel types","Number of vehicles","Number","223","units","0","v1446858010","1.14.7.1","","x","","","0"
"2017","Canada","2021A000011124","Buses","All fuel types","Number of vehicles","Number","223","units","0","v1446858011","1.15.1.1","65652","","","","0"
"2017","Canada","2021A000011124","Buses","Gasoline","Number of vehicles","Number","223","units","0","v1446858012","1.15.2.1","","x","","","0"
"2017","Canada","2021A000011124","Buses","Diesel","Number of vehicles","Number","223","units","0","v1446858013","1.15.3.1","","x","","","0"
"2017","Canada","2021A000011124","Buses","Battery electric","Number of vehicles","Number","223","units","0","v1446858014","1.15.4.1","","x","","","0"
"2017","Canada","2021A000011124","Buses","Hybrid electric","Number of vehicles","Number","223","units","0","v1446858015","1.15.5.1","","x","","","0"
"2017","Canada","2021A000011124","Buses","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446858016","1.15.6.1","","x","","","0"
"2017","Canada","2021A000011124","Buses","Other fuel types","Number of vehicles","Number","223","units","0","v1446858017","1.15.7.1","","x","","","0"
"2017","Canada","2021A000011124","Motorcycles and mopeds","All fuel types","Number of vehicles","Number","223","units","0","v1446858018","1.21.1.1","729687","","","","0"
"2017","Canada","2021A000011124","Motorcycles and mopeds","Gasoline","Number of vehicles","Number","223","units","0","v1446858019","1.21.2.1","","x","","","0"
"2017","Canada","2021A000011124","Motorcycles and mopeds","Diesel","Number of vehicles","Number","223","units","0","v1446858020","1.21.3.1","","x","","","0"
"2017","Canada","2021A000011124","Motorcycles and mopeds","Battery electric","Number of vehicles","Number","223","units","0","v1446858021","1.21.4.1","","x","","","0"
"2017","Canada","2021A000011124","Motorcycles and mopeds","Hybrid electric","Number of vehicles","Number","223","units","0","v1446858022","1.21.5.1","","x","","","0"
"2017","Canada","2021A000011124","Motorcycles and mopeds","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446858023","1.21.6.1","","x","","","0"
"2017","Canada","2021A000011124","Motorcycles and mopeds","Other fuel types","Number of vehicles","Number","223","units","0","v1446858024","1.21.7.1","","x","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, road motor vehicle registrations","All fuel types","Number of vehicles","Number","223","units","0","v1446858025","2.1.1.1","391969","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, road motor vehicle registrations","Gasoline","Number of vehicles","Number","223","units","0","v1446858026","2.1.2.1","374687","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, road motor vehicle registrations","Diesel","Number of vehicles","Number","223","units","0","v1446858027","2.1.3.1","16507","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, road motor vehicle registrations","Battery electric","Number of vehicles","Number","223","units","0","v1446858028","2.1.4.1","28","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, road motor vehicle registrations","Hybrid electric","Number of vehicles","Number","223","units","0","v1446858029","2.1.5.1","655","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, road motor vehicle registrations","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446858030","2.1.6.1","83","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, road motor vehicle registrations","Other fuel types","Number of vehicles","Number","223","units","0","v1446858031","2.1.7.1","9","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, vehicles weighing less than 4,535 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446858032","2.2.1.1","362778","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, vehicles weighing less than 4,535 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446858033","2.2.2.1","355686","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, vehicles weighing less than 4,535 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446858034","2.2.3.1","6326","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, vehicles weighing less than 4,535 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446858035","2.2.4.1","25","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, vehicles weighing less than 4,535 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446858036","2.2.5.1","655","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, vehicles weighing less than 4,535 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446858037","2.2.6.1","83","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, vehicles weighing less than 4,535 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446858038","2.2.7.1","3","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Passenger cars, weighing less than 4,535 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446858039","2.3.1.1","138985","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Passenger cars, weighing less than 4,535 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446858040","2.3.2.1","137587","","","","0"
